ID,Entidad,Poblacion Total,Ciudadanos EU,Limite inferior de confianza,Limite superior de confianza,Nacionalidad Si,Nacionalidad No,Nacionalidad NE
,Total,119530753,739168,728368.5396,749967.4604,46.900569,42.891738,10.207693
01,Aguascalientes,1312544,9900,9109.743588,10690.25641,53.262626,38.59596,8.141414
02,Baja California,3315766,123848,117239.3487,130456.6513,37.98285,55.758672,6.258478
03,Baja California Sur,712029,5961,5115.645867,6806.354133,33.215903,50.360678,16.423419
04,Campeche,899931,1619,1336.45121,1901.54879,55.651637,34.218653,10.12971
05,Coahuila de Zaragoza,2954915,19497,18513.30271,20480.69729,37.390368,50.130789,12.478843
06,Colima,711235,8231,7649.777938,8812.222062,68.071923,25.683392,6.244685
07,Chiapas,5217908,3887,3489.725223,4284.274777,55.569848,34.190893,10.239259
08,Chihuahua,3556574,84920,78810.48904,91029.51096,37.889779,51.475506,10.634715
09,Ciudad de Mexico,8918653,15057,13698.38318,16415.61682,55.76144,28.930066,15.308494
10,Durango,1754754,12685,12020.57374,13349.42626,45.762712,45.431612,8.805676
11,Guanajuato,5853677,31030,29370.66339,32689.33661,46.042539,44.311956,9.645504
12,Guerrero,3533251,14665,14002.52641,15327.47359,72.437777,18.793045,8.769178
13,Hidalgo,2858359,15207,14694.50361,15719.49639,73.150523,18.14296,8.706517
14,Jalisco,7844830,61762,59904.39859,63619.60141,53.583109,35.30488,11.112011
15,Mexico,16187608,26634,25213.28915,28054.71085,63.527822,23.935571,12.536607
16,Michoacan de Ocampo,4584471,44249,43157.52632,45340.47368,51.052001,40.267577,8.680422
17,Morelos,1903811,13061,12281.82058,13840.17942,61.832938,29.637853,8.529209
18,Nayarit,1181050,14087,13165.79893,15008.20107,53.56002,37.389082,9.050898
19,Nuevo Leon,5119504,19648,18495.58926,20800.41074,43.276669,34.756718,21.966612
20,Oaxaca,3967889,16427,15911.44981,16942.55019,57.295915,35.3686,7.335484
21,Puebla,6168883,17461,16770.0085,18151.9915,74.938434,15.674933,9.386633
22,Queretaro,2038372,8005,7333.555963,8676.444037,53.966271,30.555903,15.477826
23,Quintana Roo,1501562,3954,3346.061582,4561.938418,46.914517,40.515933,12.56955
24,San Luis Potosi,2717820,12263,11659.15301,12866.84699,60.311506,29.756177,9.932317
25,Sinaloa,2966321,14929,13848.09985,16009.90016,46.593878,43.264787,10.141336
26,Sonora,2850330,46497,44083.7859,48910.2141,37.529303,52.104437,10.36626
27,Tabasco,2395272,1280,1003.223287,1556.776713,56.484375,23.671875,19.84375
28,Tamaulipas,3441698,54304,51535.20377,57072.79623,26.874632,59.332646,13.792722
29,Tlaxcala,1272847,2816,2682.190711,2949.809289,73.366477,13.52983,13.103693
30,Veracruz de Ignacio de la Llave,8112505,15040,14425.07301,15654.92699,68.417553,22.134309,9.448138
31,Yucatan,2097175,3207,2678.633658,3735.366342,51.824135,35.328968,12.846897
32,Zacatecas,1579209,17037,16455.39815,17618.60185,43.892704,47.156189,8.951106
