ID,Ciudad,Pob Total,Pob Hispana
0500000US01001,"Autauga, Alabama",58805,2117
0500000US01003,"Baldwin, Alabama",231767,12686
0500000US01005,"Barbour, Alabama",25223,1510
0500000US01007,"Bibb, Alabama",22293,740
0500000US01009,"Blount, Alabama",59134,5771
0500000US01011,"Bullock, Alabama",10357,503
0500000US01013,"Butler, Alabama",19051,260
0500000US01015,"Calhoun, Alabama",116441,5010
0500000US01017,"Chambers, Alabama",34772,1237
0500000US01019,"Cherokee, Alabama",24971,400
0500000US01021,"Chilton, Alabama",45014,4418
0500000US01023,"Choctaw, Alabama",12665,113
0500000US01025,"Clarke, Alabama",23087,206
0500000US01027,"Clay, Alabama",14236,449
0500000US01029,"Cleburne, Alabama",15056,284
0500000US01031,"Coffee, Alabama",53465,4887
0500000US01033,"Colbert, Alabama",57227,1732
0500000US01035,"Conecuh, Alabama",11597,256
0500000US01037,"Coosa, Alabama",10387,201
0500000US01039,"Covington, Alabama",37570,654
0500000US01041,"Crenshaw, Alabama",13194,187
0500000US01043,"Cullman, Alabama",87866,4146
0500000US01045,"Dale, Alabama",49326,3254
0500000US01047,"Dallas, Alabama",38462,296
0500000US01049,"DeKalb, Alabama",71608,11744
0500000US01051,"Elmore, Alabama",87977,2793
0500000US01053,"Escambia, Alabama",36757,751
0500000US01055,"Etowah, Alabama",103436,4895
0500000US01057,"Fayette, Alabama",16321,396
0500000US01059,"Franklin, Alabama",32113,6259
0500000US01061,"Geneva, Alabama",26659,1296
0500000US01063,"Greene, Alabama",7730,61
0500000US01065,"Hale, Alabama",14785,149
0500000US01067,"Henry, Alabama",17146,334
0500000US01069,"Houston, Alabama",107202,4481
0500000US01071,"Jackson, Alabama",52579,1681
0500000US01073,"Jefferson, Alabama",674721,34856
0500000US01075,"Lamar, Alabama",13972,208
0500000US01077,"Lauderdale, Alabama",93564,3078
0500000US01079,"Lawrence, Alabama",33073,895
0500000US01081,"Lee, Alabama",174241,9135
0500000US01083,"Limestone, Alabama",103570,7248
0500000US01085,"Lowndes, Alabama",10311,140
0500000US01087,"Macon, Alabama",19532,361
0500000US01089,"Madison, Alabama",388153,24936
0500000US01091,"Marengo, Alabama",19323,368
0500000US01093,"Marion, Alabama",29341,863
0500000US01095,"Marshall, Alabama",97612,15658
0500000US01097,"Mobile, Alabama",414809,13425
0500000US01099,"Monroe, Alabama",19772,207
0500000US01101,"Montgomery, Alabama",228954,10684
0500000US01103,"Morgan, Alabama",123421,12377
0500000US01105,"Perry, Alabama",8511,89
0500000US01107,"Pickens, Alabama",19123,1053
0500000US01109,"Pike, Alabama",33009,905
0500000US01111,"Randolph, Alabama",21967,605
0500000US01113,"Russell, Alabama",59183,3195
0500000US01115,"St. Clair, Alabama",91103,2575
0500000US01117,"Shelby, Alabama",223024,16460
0500000US01119,"Sumter, Alabama",12345,131
0500000US01121,"Talladega, Alabama",82149,1779
0500000US01123,"Tallapoosa, Alabama",41311,1144
0500000US01125,"Tuscaloosa, Alabama",227036,12298
0500000US01127,"Walker, Alabama",65342,2152
0500000US01129,"Washington, Alabama",15388,138
0500000US01131,"Wilcox, Alabama",10600,112
0500000US01133,"Winston, Alabama",23540,815
0500000US02013,"Aleutians East Borough, Alaska",3420,674
0500000US02016,"Aleutians West Census Area, Alaska",5232,668
0500000US02020,"Anchorage Municipality, Alaska",291247,26438
0500000US02050,"Bethel Census Area, Alaska",18666,207
0500000US02060,"Bristol Bay Borough, Alaska",844,45
0500000US02063,"Chugach Census Area, Alaska",7102,397
0500000US02066,"Copper River Census Area, Alaska",2617,84
0500000US02068,"Denali Borough, Alaska",1619,32
0500000US02070,"Dillingham Census Area, Alaska",4857,146
0500000US02090,"Fairbanks North Star Borough, Alaska",95655,7320
0500000US02100,"Haines Borough, Alaska",2080,67
0500000US02105,"Hoonah-Angoon Census Area, Alaska",2365,120
0500000US02110,"Juneau City and Borough, Alaska",32255,2077
0500000US02122,"Kenai Peninsula Borough, Alaska",58799,2328
0500000US02130,"Ketchikan Gateway Borough, Alaska",13948,650
0500000US02150,"Kodiak Island Borough, Alaska",13101,1024
0500000US02158,"Kusilvak Census Area, Alaska",8368,14
0500000US02164,"Lake and Peninsula Borough, Alaska",1476,34
0500000US02170,"Matanuska-Susitna Borough, Alaska",107081,5244
0500000US02180,"Nome Census Area, Alaska",10046,186
0500000US02185,"North Slope Borough, Alaska",11031,548
0500000US02188,"Northwest Arctic Borough, Alaska",7793,102
0500000US02195,"Petersburg Borough, Alaska",3398,164
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",5753,160
0500000US02220,"Sitka City and Borough, Alaska",8458,501
0500000US02230,"Skagway Municipality, Alaska",1240,41
0500000US02240,"Southeast Fairbanks Census Area, Alaska",6808,376
0500000US02275,"Wrangell City and Borough, Alaska",2127,76
0500000US02282,"Yakutat City and Borough, Alaska",662,29
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",5343,72
0500000US04001,"Apache, Arizona",66021,3861
0500000US04003,"Cochise, Arizona",125447,42615
0500000US04005,"Coconino, Arizona",145101,21719
0500000US04007,"Gila, Arizona",53272,9283
0500000US04009,"Graham, Arizona",38533,11428
0500000US04011,"Greenlee, Arizona",9563,4376
0500000US04012,"La Paz, Arizona",16557,4197
0500000US04013,"Maricopa, Arizona",4420568,1351415
0500000US04015,"Mohave, Arizona",213267,34126
0500000US04017,"Navajo, Arizona",106717,10887
0500000US04019,"Pima, Arizona",1043433,372788
0500000US04021,"Pinal, Arizona",425264,121533
0500000US04023,"Santa Cruz, Arizona",47669,39632
0500000US04025,"Yavapai, Arizona",236209,34390
0500000US04027,"Yuma, Arizona",203881,130003
0500000US05001,"Arkansas, Arkansas",17149,636
0500000US05003,"Ashley, Arkansas",19062,1114
0500000US05005,"Baxter, Arkansas",41627,1058
0500000US05007,"Benton, Arkansas",284333,50540
0500000US05009,"Boone, Arkansas",37373,973
0500000US05011,"Bradley, Arkansas",10545,1575
0500000US05013,"Calhoun, Arkansas",4739,127
0500000US05015,"Carroll, Arkansas",28260,4306
0500000US05017,"Chicot, Arkansas",10208,581
0500000US05019,"Clark, Arkansas",21446,1092
0500000US05021,"Clay, Arkansas",14552,327
0500000US05023,"Cleburne, Arkansas",24711,632
0500000US05025,"Cleveland, Arkansas",7550,182
0500000US05027,"Columbia, Arkansas",22801,773
0500000US05029,"Conway, Arkansas",20715,886
0500000US05031,"Craighead, Arkansas",111231,6727
0500000US05033,"Crawford, Arkansas",60133,4567
0500000US05035,"Crittenden, Arkansas",48163,1428
0500000US05037,"Cross, Arkansas",16833,352
0500000US05039,"Dallas, Arkansas",6482,201
0500000US05041,"Desha, Arkansas",11395,773
0500000US05043,"Drew, Arkansas",17350,656
0500000US05045,"Faulkner, Arkansas",123498,6790
0500000US05047,"Franklin, Arkansas",17097,491
0500000US05049,"Fulton, Arkansas",12075,154
0500000US05051,"Garland, Arkansas",100180,7047
0500000US05053,"Grant, Arkansas",17958,440
0500000US05055,"Greene, Arkansas",45736,1596
0500000US05057,"Hempstead, Arkansas",20065,2953
0500000US05059,"Hot Spring, Arkansas",33040,1265
0500000US05061,"Howard, Arkansas",12785,1517
0500000US05063,"Independence, Arkansas",37938,3258
0500000US05065,"Izard, Arkansas",13577,326
0500000US05067,"Jackson, Arkansas",16755,461
0500000US05069,"Jefferson, Arkansas",67260,1488
0500000US05071,"Johnson, Arkansas",25749,3439
0500000US05073,"Lafayette, Arkansas",6308,145
0500000US05075,"Lawrence, Arkansas",16216,357
0500000US05077,"Lee, Arkansas",8600,216
0500000US05079,"Lincoln, Arkansas",12941,619
0500000US05081,"Little River, Arkansas",12026,409
0500000US05083,"Logan, Arkansas",21131,640
0500000US05085,"Lonoke, Arkansas",74015,3610
0500000US05087,"Madison, Arkansas",16521,890
0500000US05089,"Marion, Arkansas",16826,379
0500000US05091,"Miller, Arkansas",42600,1583
0500000US05093,"Mississippi, Arkansas",40685,1771
0500000US05095,"Monroe, Arkansas",6799,186
0500000US05097,"Montgomery, Arkansas",8484,415
0500000US05099,"Nevada, Arkansas",8310,354
0500000US05101,"Newton, Arkansas",7225,82
0500000US05103,"Ouachita, Arkansas",22650,516
0500000US05105,"Perry, Arkansas",10019,286
0500000US05107,"Phillips, Arkansas",16568,264
0500000US05109,"Pike, Arkansas",10171,831
0500000US05111,"Poinsett, Arkansas",22965,829
0500000US05113,"Polk, Arkansas",19221,1278
0500000US05115,"Pope, Arkansas",63381,6415
0500000US05117,"Prairie, Arkansas",8282,145
0500000US05119,"Pulaski, Arkansas",399125,33153
0500000US05121,"Randolph, Arkansas",18571,384
0500000US05123,"St. Francis, Arkansas",23090,686
0500000US05125,"Saline, Arkansas",123416,8507
0500000US05127,"Scott, Arkansas",9836,748
0500000US05129,"Searcy, Arkansas",7828,140
0500000US05131,"Sebastian, Arkansas",127799,19328
0500000US05133,"Sevier, Arkansas",15839,5508
0500000US05135,"Sharp, Arkansas",17271,362
0500000US05137,"Stone, Arkansas",12359,271
0500000US05139,"Union, Arkansas",39054,1754
0500000US05141,"Van Buren, Arkansas",15796,501
0500000US05143,"Washington, Arkansas",245871,44755
0500000US05145,"White, Arkansas",76822,3499
0500000US05147,"Woodruff, Arkansas",6269,96
0500000US05149,"Yell, Arkansas",20263,4204
0500000US06001,"Alameda, California",1682353,393749
0500000US06003,"Alpine, California",1204,84
0500000US06005,"Amador, California",40474,6014
0500000US06007,"Butte, California",211632,40112
0500000US06009,"Calaveras, California",45292,5865
0500000US06011,"Colusa, California",21839,13476
0500000US06013,"Contra Costa, California",1165927,314900
0500000US06015,"Del Norte, California",27743,5321
0500000US06017,"El Dorado, California",191185,26459
0500000US06019,"Fresno, California",1008654,540743
0500000US06021,"Glenn, California",28917,12541
0500000US06023,"Humboldt, California",136463,18535
0500000US06025,"Imperial, California",179702,153027
0500000US06027,"Inyo, California",19016,4399
0500000US06029,"Kern, California",909235,499158
0500000US06031,"Kings, California",152486,86607
0500000US06033,"Lake, California",68163,15442
0500000US06035,"Lassen, California",32730,7531
0500000US06037,"Los Angeles, California",10014009,4804763
0500000US06039,"Madera, California",156255,93178
0500000US06041,"Marin, California",262321,49410
0500000US06043,"Mariposa, California",17131,2140
0500000US06045,"Mendocino, California",91601,23933
0500000US06047,"Merced, California",281202,173857
0500000US06049,"Modoc, California",8700,1259
0500000US06051,"Mono, California",13195,3507
0500000US06053,"Monterey, California",439035,265321
0500000US06055,"Napa, California",138019,48829
0500000US06057,"Nevada, California",102241,10416
0500000US06059,"Orange, California",3186989,1086834
0500000US06061,"Placer, California",404739,60628
0500000US06063,"Plumas, California",19790,1897
0500000US06065,"Riverside, California",2418185,1202295
0500000US06067,"Sacramento, California",1585055,374434
0500000US06069,"San Benito, California",64209,39241
0500000US06071,"San Bernardino, California",2181654,1170913
0500000US06073,"San Diego, California",3298634,1119629
0500000US06075,"San Francisco, California",873965,136761
0500000US06077,"San Joaquin, California",779233,325725
0500000US06079,"San Luis Obispo, California",282424,67921
0500000US06081,"San Mateo, California",764442,191386
0500000US06083,"Santa Barbara, California",448229,210584
0500000US06085,"Santa Clara, California",1936259,487357
0500000US06087,"Santa Cruz, California",270861,94299
0500000US06089,"Shasta, California",182155,19730
0500000US06091,"Sierra, California",3236,377
0500000US06093,"Siskiyou, California",44076,5527
0500000US06095,"Solano, California",453491,128155
0500000US06097,"Sonoma, California",488863,141438
0500000US06099,"Stanislaus, California",552878,265978
0500000US06101,"Sutter, California",99633,31568
0500000US06103,"Tehama, California",65829,17938
0500000US06105,"Trinity, California",16112,937
0500000US06107,"Tulare, California",473117,309895
0500000US06109,"Tuolumne, California",55620,7124
0500000US06111,"Ventura, California",843843,365285
0500000US06113,"Yolo, California",216403,71700
0500000US06115,"Yuba, California",81575,23520
0500000US08001,"Adams, Colorado",519572,216649
0500000US08003,"Alamosa, Colorado",16376,7701
0500000US08005,"Arapahoe, Colorado",655070,135729
0500000US08007,"Archuleta, Colorado",13359,2159
0500000US08009,"Baca, Colorado",3506,346
0500000US08011,"Bent, Colorado",5650,1760
0500000US08013,"Boulder, Colorado",330758,48168
0500000US08014,"Broomfield, Colorado",74112,9919
0500000US08015,"Chaffee, Colorado",19476,1841
0500000US08017,"Cheyenne, Colorado",1748,206
0500000US08019,"Clear Creek, Colorado",9397,648
0500000US08021,"Conejos, Colorado",7461,3779
0500000US08023,"Costilla, Colorado",3499,1988
0500000US08025,"Crowley, Colorado",5922,1608
0500000US08027,"Custer, Colorado",4704,178
0500000US08029,"Delta, Colorado",31196,4329
0500000US08031,"Denver, Colorado",715522,199460
0500000US08033,"Dolores, Colorado",2326,176
0500000US08035,"Douglas, Colorado",357978,34110
0500000US08037,"Eagle, Colorado",55731,16858
0500000US08039,"Elbert, Colorado",26062,2067
0500000US08041,"El Paso, Colorado",730395,129984
0500000US08043,"Fremont, Colorado",48939,6049
0500000US08045,"Garfield, Colorado",61685,19564
0500000US08047,"Gilpin, Colorado",5808,380
0500000US08049,"Grand, Colorado",15717,1533
0500000US08051,"Gunnison, Colorado",16918,1604
0500000US08053,"Hinsdale, Colorado",788,30
0500000US08055,"Huerfano, Colorado",6820,2130
0500000US08057,"Jackson, Colorado",1379,138
0500000US08059,"Jefferson, Colorado",582910,91514
0500000US08061,"Kiowa, Colorado",1446,104
0500000US08063,"Kit Carson, Colorado",7087,1409
0500000US08065,"Lake, Colorado",7436,2662
0500000US08067,"La Plata, Colorado",55638,7008
0500000US08069,"Larimer, Colorado",359066,44662
0500000US08071,"Las Animas, Colorado",14555,5632
0500000US08073,"Lincoln, Colorado",5675,809
0500000US08075,"Logan, Colorado",21528,3511
0500000US08077,"Mesa, Colorado",155703,23278
0500000US08079,"Mineral, Colorado",865,47
0500000US08081,"Moffat, Colorado",13292,2124
0500000US08083,"Montezuma, Colorado",25849,3109
0500000US08085,"Montrose, Colorado",42679,9027
0500000US08087,"Morgan, Colorado",29111,10566
0500000US08089,"Otero, Colorado",18690,7702
0500000US08091,"Ouray, Colorado",4874,292
0500000US08093,"Park, Colorado",17390,1235
0500000US08095,"Phillips, Colorado",4530,1155
0500000US08097,"Pitkin, Colorado",17358,1892
0500000US08099,"Prowers, Colorado",11999,4680
0500000US08101,"Pueblo, Colorado",168162,69921
0500000US08103,"Rio Blanco, Colorado",6529,622
0500000US08105,"Rio Grande, Colorado",11539,4609
0500000US08107,"Routt, Colorado",24829,2200
0500000US08109,"Saguache, Colorado",6368,2394
0500000US08111,"San Juan, Colorado",705,90
0500000US08113,"San Miguel, Colorado",8072,882
0500000US08115,"Sedgwick, Colorado",2404,363
0500000US08117,"Summit, Colorado",31055,5335
0500000US08119,"Teller, Colorado",24710,1716
0500000US08121,"Washington, Colorado",4817,516
0500000US08123,"Weld, Colorado",328981,98462
0500000US08125,"Yuma, Colorado",9988,2771
0500000US09001,"Fairfield, Connecticut",957419,205351
0500000US09003,"Hartford, Connecticut",899498,166275
0500000US09005,"Litchfield, Connecticut",185186,14580
0500000US09007,"Middlesex, Connecticut",164245,11928
0500000US09009,"New Haven, Connecticut",864835,170081
0500000US09011,"New London, Connecticut",268555,30920
0500000US09013,"Tolland, Connecticut",149788,9699
0500000US09015,"Windham, Connecticut",116418,14459
0500000US10001,"Kent, Delaware",181851,13981
0500000US10003,"New Castle, Delaware",570719,63516
0500000US10005,"Sussex, Delaware",237378,26793
0500000US11001,"District of Columbia, District of Columbia",689545,77652
0500000US12001,"Alachua, Florida",278468,33614
0500000US12003,"Baker, Florida",28259,973
0500000US12005,"Bay, Florida",175216,13846
0500000US12007,"Bradford, Florida",28303,1350
0500000US12009,"Brevard, Florida",606612,67907
0500000US12011,"Broward, Florida",1944375,608703
0500000US12013,"Calhoun, Florida",13648,622
0500000US12015,"Charlotte, Florida",186847,14079
0500000US12017,"Citrus, Florida",153843,9241
0500000US12019,"Clay, Florida",218245,23134
0500000US12021,"Collier, Florida",375752,102249
0500000US12023,"Columbia, Florida",69698,5063
0500000US12027,"DeSoto, Florida",33976,10011
0500000US12029,"Dixie, Florida",16759,688
0500000US12031,"Duval, Florida",995567,112689
0500000US12033,"Escambia, Florida",321905,20793
0500000US12035,"Flagler, Florida",115378,12299
0500000US12037,"Franklin, Florida",12451,675
0500000US12039,"Gadsden, Florida",43826,5093
0500000US12041,"Gilchrist, Florida",17864,1348
0500000US12043,"Glades, Florida",12126,3050
0500000US12045,"Gulf, Florida",14192,555
0500000US12047,"Hamilton, Florida",14004,1455
0500000US12049,"Hardee, Florida",25327,10604
0500000US12051,"Hendry, Florida",39619,22112
0500000US12053,"Hernando, Florida",194515,29045
0500000US12055,"Highlands, Florida",101235,20943
0500000US12057,"Hillsborough, Florida",1459762,427381
0500000US12059,"Holmes, Florida",19653,688
0500000US12061,"Indian River, Florida",159788,20832
0500000US12063,"Jackson, Florida",47319,2215
0500000US12065,"Jefferson, Florida",14510,658
0500000US12067,"Lafayette, Florida",8226,938
0500000US12069,"Lake, Florida",383956,65375
0500000US12071,"Lee, Florida",760822,173161
0500000US12073,"Leon, Florida",292198,22914
0500000US12075,"Levy, Florida",42915,4080
0500000US12077,"Liberty, Florida",7974,562
0500000US12079,"Madison, Florida",17968,881
0500000US12081,"Manatee, Florida",399710,70979
0500000US12083,"Marion, Florida",375908,55910
0500000US12085,"Martin, Florida",158431,24187
0500000US12086,"Miami-Dade, Florida",2701767,1856938
0500000US12087,"Monroe, Florida",82874,19432
0500000US12089,"Nassau, Florida",90352,4449
0500000US12091,"Okaloosa, Florida",211668,22578
0500000US12093,"Okeechobee, Florida",39644,9857
0500000US12095,"Orange, Florida",1429908,473025
0500000US12097,"Osceola, Florida",388656,211089
0500000US12099,"Palm Beach, Florida",1492191,349933
0500000US12101,"Pasco, Florida",561891,93157
0500000US12103,"Pinellas, Florida",959107,102439
0500000US12105,"Polk, Florida",725046,187695
0500000US12107,"Putnam, Florida",73321,7816
0500000US12109,"St. Johns, Florida",273425,22607
0500000US12111,"St. Lucie, Florida",329226,66320
0500000US12113,"Santa Rosa, Florida",188000,11890
0500000US12115,"Sarasota, Florida",434006,43236
0500000US12117,"Seminole, Florida",470856,106539
0500000US12119,"Sumter, Florida",129752,7583
0500000US12121,"Suwannee, Florida",43474,4785
0500000US12123,"Taylor, Florida",21796,866
0500000US12125,"Union, Florida",16147,764
0500000US12127,"Volusia, Florida",553543,82652
0500000US12129,"Wakulla, Florida",33764,1577
0500000US12131,"Walton, Florida",75305,6187
0500000US12133,"Washington, Florida",25318,924
0500000US13001,"Appling, Georgia",18444,1825
0500000US13003,"Atkinson, Georgia",8286,2048
0500000US13005,"Bacon, Georgia",11140,875
0500000US13007,"Baker, Georgia",2876,143
0500000US13009,"Baldwin, Georgia",43799,1139
0500000US13011,"Banks, Georgia",18035,1164
0500000US13013,"Barrow, Georgia",83505,10560
0500000US13015,"Bartow, Georgia",108901,10751
0500000US13017,"Ben Hill, Georgia",17194,1054
0500000US13019,"Berrien, Georgia",18160,1045
0500000US13021,"Bibb, Georgia",157346,6737
0500000US13023,"Bleckley, Georgia",12583,469
0500000US13025,"Brantley, Georgia",18021,326
0500000US13027,"Brooks, Georgia",16301,955
0500000US13029,"Bryan, Georgia",44738,3269
0500000US13031,"Bulloch, Georgia",81099,4180
0500000US13033,"Burke, Georgia",24596,777
0500000US13035,"Butts, Georgia",25434,803
0500000US13037,"Calhoun, Georgia",5573,149
0500000US13039,"Camden, Georgia",54768,3658
0500000US13043,"Candler, Georgia",10981,1378
0500000US13045,"Carroll, Georgia",119148,9586
0500000US13047,"Catoosa, Georgia",67872,2341
0500000US13049,"Charlton, Georgia",12518,2036
0500000US13051,"Chatham, Georgia",295291,23790
0500000US13053,"Chattahoochee, Georgia",9565,1610
0500000US13055,"Chattooga, Georgia",24965,1297
0500000US13057,"Cherokee, Georgia",266620,32111
0500000US13059,"Clarke, Georgia",128671,14336
0500000US13061,"Clay, Georgia",2848,41
0500000US13063,"Clayton, Georgia",297595,42546
0500000US13065,"Clinch, Georgia",6749,253
0500000US13067,"Cobb, Georgia",766149,111240
0500000US13069,"Coffee, Georgia",43092,5430
0500000US13071,"Colquitt, Georgia",45898,8709
0500000US13073,"Columbia, Georgia",156010,11858
0500000US13075,"Cook, Georgia",17229,1134
0500000US13077,"Coweta, Georgia",146158,11053
0500000US13079,"Crawford, Georgia",12130,415
0500000US13081,"Crisp, Georgia",20128,634
0500000US13083,"Dade, Georgia",16251,364
0500000US13085,"Dawson, Georgia",26798,1605
0500000US13087,"Decatur, Georgia",29367,1911
0500000US13089,"DeKalb, Georgia",764382,81471
0500000US13091,"Dodge, Georgia",19925,620
0500000US13093,"Dooly, Georgia",11208,797
0500000US13095,"Dougherty, Georgia",85790,2413
0500000US13097,"Douglas, Georgia",144237,16035
0500000US13099,"Early, Georgia",10854,186
0500000US13101,"Echols, Georgia",3697,1091
0500000US13103,"Effingham, Georgia",64769,3492
0500000US13105,"Elbert, Georgia",19637,996
0500000US13107,"Emanuel, Georgia",22768,993
0500000US13109,"Evans, Georgia",10774,1237
0500000US13111,"Fannin, Georgia",25319,753
0500000US13113,"Fayette, Georgia",119194,9480
0500000US13115,"Floyd, Georgia",98584,11466
0500000US13117,"Forsyth, Georgia",251283,25226
0500000US13119,"Franklin, Georgia",23424,1121
0500000US13121,"Fulton, Georgia",1066710,86302
0500000US13123,"Gilmer, Georgia",31353,3599
0500000US13125,"Glascock, Georgia",2884,52
0500000US13127,"Glynn, Georgia",84499,6336
0500000US13129,"Gordon, Georgia",57544,8957
0500000US13131,"Grady, Georgia",26236,3273
0500000US13133,"Greene, Georgia",18915,1289
0500000US13135,"Gwinnett, Georgia",957062,220460
0500000US13137,"Habersham, Georgia",46031,6880
0500000US13139,"Hall, Georgia",203136,57010
0500000US13141,"Hancock, Georgia",8735,63
0500000US13143,"Haralson, Georgia",29919,497
0500000US13145,"Harris, Georgia",34668,1417
0500000US13147,"Hart, Georgia",25828,931
0500000US13149,"Heard, Georgia",11412,253
0500000US13151,"Henry, Georgia",240712,18437
0500000US13153,"Houston, Georgia",163633,11807
0500000US13155,"Irwin, Georgia",9666,663
0500000US13157,"Jackson, Georgia",75907,6712
0500000US13159,"Jasper, Georgia",14588,684
0500000US13161,"Jeff Davis, Georgia",14779,2047
0500000US13163,"Jefferson, Georgia",15709,462
0500000US13165,"Jenkins, Georgia",8674,303
0500000US13167,"Johnson, Georgia",9189,117
0500000US13169,"Jones, Georgia",28347,476
0500000US13171,"Lamar, Georgia",18500,475
0500000US13173,"Lanier, Georgia",9877,572
0500000US13175,"Laurens, Georgia",49570,1424
0500000US13177,"Lee, Georgia",33163,953
0500000US13179,"Liberty, Georgia",65256,7786
0500000US13181,"Lincoln, Georgia",7690,92
0500000US13183,"Long, Georgia",16168,1979
0500000US13185,"Lowndes, Georgia",118251,7872
0500000US13187,"Lumpkin, Georgia",33488,1790
0500000US13189,"McDuffie, Georgia",21632,790
0500000US13191,"McIntosh, Georgia",10975,231
0500000US13193,"Macon, Georgia",12082,472
0500000US13195,"Madison, Georgia",30120,1956
0500000US13197,"Marion, Georgia",7498,560
0500000US13199,"Meriwether, Georgia",20613,475
0500000US13201,"Miller, Georgia",6000,136
0500000US13205,"Mitchell, Georgia",21755,964
0500000US13207,"Monroe, Georgia",27957,714
0500000US13209,"Montgomery, Georgia",8610,571
0500000US13211,"Morgan, Georgia",20097,712
0500000US13213,"Murray, Georgia",39973,5914
0500000US13215,"Muscogee, Georgia",206922,16513
0500000US13217,"Newton, Georgia",112483,7164
0500000US13219,"Oconee, Georgia",41799,2347
0500000US13221,"Oglethorpe, Georgia",14825,869
0500000US13223,"Paulding, Georgia",168661,12564
0500000US13225,"Peach, Georgia",27981,2547
0500000US13227,"Pickens, Georgia",33216,1198
0500000US13229,"Pierce, Georgia",19716,998
0500000US13231,"Pike, Georgia",18889,348
0500000US13233,"Polk, Georgia",42853,5585
0500000US13235,"Pulaski, Georgia",9855,327
0500000US13237,"Putnam, Georgia",22047,1557
0500000US13239,"Quitman, Georgia",2235,31
0500000US13241,"Rabun, Georgia",16883,1452
0500000US13243,"Randolph, Georgia",6425,143
0500000US13245,"Richmond, Georgia",206607,11449
0500000US13247,"Rockdale, Georgia",93570,9540
0500000US13249,"Schley, Georgia",4547,175
0500000US13251,"Screven, Georgia",14067,287
0500000US13253,"Seminole, Georgia",9147,228
0500000US13255,"Spalding, Georgia",67306,3666
0500000US13257,"Stephens, Georgia",26784,857
0500000US13259,"Stewart, Georgia",5314,1217
0500000US13261,"Sumter, Georgia",29616,1770
0500000US13263,"Talbot, Georgia",5733,112
0500000US13265,"Taliaferro, Georgia",1559,69
0500000US13267,"Tattnall, Georgia",22842,2303
0500000US13269,"Taylor, Georgia",7816,168
0500000US13271,"Telfair, Georgia",12477,1928
