ID,Entidad,Poblacion Mexicana,Poblacion Total
0500000US24027,"Howard County, Maryland",3772,287085
0500000US30047,"Lake County, Montana",691,28746
0500000US51179,"Stafford County, Virginia",2673,128961
0500000US06065,"Riverside County, California",826515,2189641
0500000US20113,"McPherson County, Kansas",751,29180
0500000US35045,"San Juan County, New Mexico",10035,130044
0500000US40153,"Woodward County, Oklahoma",1679,20081
0500000US22115,"Vernon Parish, Louisiana",1723,52334
0500000US24025,"Harford County, Maryland",2006,244826
0500000US48275,"Knox County, Texas",913,3719
0500000US56035,"Sublette County, Wyoming",1066,10247
0500000US48121,"Denton County, Texas",85795,662614
0500000US13153,"Houston County, Georgia",4703,139900
0500000US27053,"Hennepin County, Minnesota",47810,1152425
0500000US08043,"Fremont County, Colorado",3096,46824
0500000US55033,"Dunn County, Wisconsin",389,43857
0500000US18181,"White County, Indiana",1305,24643
0500000US27091,"Martin County, Minnesota",428,20840
0500000US34027,"Morris County, New Jersey",5487,492276
0500000US42017,"Bucks County, Pennsylvania",6853,625249
0500000US48073,"Cherokee County, Texas",8892,50845
0500000US13131,"Grady County, Georgia",1573,25011
0500000US26159,"Van Buren County, Michigan",6246,76258
0500000US40019,"Carter County, Oklahoma",1877,47557
0500000US16053,"Jerome County, Idaho",5627,22374
0500000US18059,"Hancock County, Indiana",847,70002
0500000US22103,"St. Tammany Parish, Louisiana",3255,233740
0500000US47119,"Maury County, Tennessee",2550,80956
0500000US29195,"Saline County, Missouri",998,23370
0500000US40085,"Love County, Oklahoma",934,9423
0500000US48171,"Gillespie County, Texas",4370,24837
0500000US48197,"Hardeman County, Texas",661,4139
0500000US51660,"Harrisonburg city, Virginia",2633,48914
0500000US48047,"Brooks County, Texas",6436,7223
0500000US48175,"Goliad County, Texas",2182,7210
0500000US06101,"Sutter County, California",23767,94737
0500000US13233,"Polk County, Georgia",3353,41475
0500000US37163,"Sampson County, North Carolina",6600,63431
0500000US41071,"Yamhill County, Oregon",11741,99193
0500000US42021,"Cambria County, Pennsylvania",814,143679
0500000US55095,"Polk County, Wisconsin",416,44205
0500000US04025,"Yavapai County, Arizona",23186,211033
0500000US20125,"Montgomery County, Kansas",1280,35471
0500000US20203,"Wichita County, Kansas",437,2234
0500000US48475,"Ward County, Texas",4549,10658
0500000US05119,"Pulaski County, Arkansas",13651,382748
0500000US20177,"Shawnee County, Kansas",15541,177934
0500000US21227,"Warren County, Kentucky",2480,113792
0500000US29107,"Lafayette County, Missouri",571,33381
0500000US47125,"Montgomery County, Tennessee",5705,172331
0500000US12095,"Orange County, Florida",36773,1145956
0500000US27043,"Faribault County, Minnesota",572,14553
0500000US47117,"Marshall County, Tennessee",1219,30617
0500000US48161,"Freestone County, Texas",2269,19816
0500000US48277,"Lamar County, Texas",2563,49793
0500000US27027,"Clay County, Minnesota",1963,58999
0500000US53071,"Walla Walla County, Washington",9727,58781
0500000US39057,"Greene County, Ohio",1662,161573
0500000US48209,"Hays County, Texas",25532,157107
0500000US51087,"Henrico County, Virginia",4881,306935
0500000US05003,"Ashley County, Arkansas",855,21853
0500000US12017,"Citrus County, Florida",1174,141236
0500000US37065,"Edgecombe County, North Carolina",1647,56552
0500000US48165,"Gaines County, Texas",5605,17526
0500000US55009,"Brown County, Wisconsin",13273,248007
0500000US17099,"LaSalle County, Illinois",7209,113924
0500000US37013,"Beaufort County, North Carolina",2354,47759
0500000US41065,"Wasco County, Oregon",3268,25213
0500000US21083,"Graves County, Kentucky",1388,37121
0500000US24045,"Wicomico County, Maryland",1362,98733
0500000US41003,"Benton County, Oregon",3949,85579
0500000US55109,"St. Croix County, Wisconsin",1093,84345
0500000US13277,"Tift County, Georgia",3652,40118
0500000US37023,"Burke County, North Carolina",1488,90912
0500000US48313,"Madison County, Texas",2396,13664
0500000US20119,"Meade County, Kansas",582,4575
0500000US40087,"McClain County, Oklahoma",1918,34506
0500000US48507,"Zavala County, Texas",10252,11677
0500000US26093,"Livingston County, Michigan",2178,180967
0500000US48137,"Edwards County, Texas",1057,2002
0500000US48449,"Titus County, Texas",10880,32334
0500000US51177,"Spotsylvania County, Virginia",2546,122397
0500000US06093,"Siskiyou County, California",3778,44900
0500000US18071,"Jackson County, Indiana",1923,42376
0500000US20045,"Douglas County, Kansas",3660,110826
0500000US48105,"Crockett County, Texas",2026,3719
0500000US26161,"Washtenaw County, Michigan",7015,344791
0500000US37107,"Lenoir County, North Carolina",2847,59495
0500000US39017,"Butler County, Ohio",7772,368130
0500000US41049,"Morrow County, Oregon",2912,11173
0500000US13299,"Ware County, Georgia",1150,36312
0500000US31151,"Saline County, Nebraska",1340,14200
0500000US01051,"Elmore County, Alabama",1359,79303
0500000US41027,"Hood River County, Oregon",5955,22346
0500000US48429,"Stephens County, Texas",1740,9630
0500000US04019,"Pima County, Arizona",294766,980263
0500000US16045,"Gem County, Idaho",1031,16719
0500000US24043,"Washington County, Maryland",811,147430
0500000US48019,"Bandera County, Texas",2966,20485
0500000US48501,"Yoakum County, Texas",3910,7879
0500000US55001,"Adams County, Wisconsin",388,20875
0500000US27169,"Winona County, Minnesota",922,51461
0500000US48035,"Bosque County, Texas",2640,18212
0500000US48389,"Reeves County, Texas",10633,13783
0500000US51760,"Richmond city, Virginia",3849,204214
0500000US22071,"Orleans Parish, Louisiana",4724,343829
0500000US37069,"Franklin County, North Carolina",3323,60619
0500000US40013,"Bryan County, Oklahoma",1558,42416
0500000US40079,"Le Flore County, Oklahoma",2951,50384
0500000US55029,"Door County, Wisconsin",557,27785
0500000US55121,"Trempealeau County, Wisconsin",1084,28816
0500000US06099,"Stanislaus County, California",190793,514453
0500000US30049,"Lewis and Clark County, Montana",1000,63395
0500000US40147,"Washington County, Oklahoma",1961,50976
0500000US54039,"Kanawha County, West Virginia",772,193063
0500000US55057,"Juneau County, Wisconsin",298,26664
0500000US16031,"Cassia County, Idaho",4870,22952
0500000US48007,"Aransas County, Texas",4853,23158
0500000US13123,"Gilmer County, Georgia",1278,28292
0500000US37047,"Columbus County, North Carolina",2331,58098
0500000US48057,"Calhoun County, Texas",8347,21381
0500000US72127,"San Juan Municipio, Puerto Rico",1723,395326
0500000US34029,"Ocean County, New Jersey",13398,576567
0500000US40057,"Harmon County, Oklahoma",656,2922
0500000US18003,"Allen County, Indiana",16539,355329
0500000US37089,"Henderson County, North Carolina",7884,106740
0500000US12063,"Jackson County, Florida",836,49746
0500000US48273,"Kleberg County, Texas",17548,32061
0500000US48299,"Llano County, Texas",1364,19301
0500000US08001,"Adams County, Colorado",128820,441603
0500000US08035,"Douglas County, Colorado",11783,285465
0500000US18081,"Johnson County, Indiana",2888,139654
0500000US20189,"Stevens County, Kansas",1558,5724
0500000US28089,"Madison County, Mississippi",1710,95203
0500000US37077,"Granville County, North Carolina",3295,59916
0500000US48237,"Jack County, Texas",889,9044
0500000US48043,"Brewster County, Texas",3182,9232
0500000US20093,"Kearny County, Kansas",986,3977
0500000US31119,"Madison County, Nebraska",3155,34876
0500000US48163,"Frio County, Texas",11436,17217
0500000US06005,"Amador County, California",3560,38091
0500000US11001,"District of Columbia, District of Columbia",8381,601723
0500000US32005,"Douglas County, Nevada",3473,46997
0500000US40135,"Sequoyah County, Oklahoma",1075,42391
0500000US48223,"Hopkins County, Texas",4529,35161
0500000US48255,"Karnes County, Texas",5906,14824
0500000US48377,"Presidio County, Texas",5838,7818
0500000US36045,"Jefferson County, New York",1730,116229
0500000US39037,"Darke County, Ohio",525,52959
0500000US48281,"Lampasas County, Texas",2865,19677
0500000US16039,"Elmore County, Idaho",3576,27038
0500000US28047,"Harrison County, Mississippi",4490,187105
0500000US35009,"Curry County, New Mexico",13736,48376
0500000US48081,"Coke County, Texas",608,3320
0500000US48135,"Ector County, Texas",63155,137130
0500000US53075,"Whitman County, Washington",1218,44776
0500000US22057,"Lafourche Parish, Louisiana",1465,96318
0500000US36005,"Bronx County, New York",70568,1385108
0500000US48347,"Nacogdoches County, Texas",9245,64524
0500000US01009,"Blount County, Alabama",3788,57322
0500000US06107,"Tulare County, California",244611,442179
0500000US36029,"Erie County, New York",4473,919040
0500000US48459,"Upshur County, Texas",2139,39309
0500000US04017,"Navajo County, Arizona",8783,107449
0500000US22051,"Jefferson Parish, Louisiana",10709,432552
0500000US39113,"Montgomery County, Ohio",6230,535153
0500000US48397,"Rockwall County, Texas",8130,78337
0500000US41031,"Jefferson County, Oregon",3519,21720
0500000US48325,"Medina County, Texas",19479,46006
0500000US05007,"Benton County, Arkansas",22653,221339
0500000US28123,"Scott County, Mississippi",1623,28264
0500000US28033,"DeSoto County, Mississippi",5592,161252
0500000US41019,"Douglas County, Oregon",3823,107667
0500000US48075,"Childress County, Texas",1636,7041
0500000US48115,"Dawson County, Texas",6628,13833
0500000US08087,"Morgan County, Colorado",8469,28159
0500000US39139,"Richland County, Ohio",852,124475
0500000US40089,"McCurtain County, Oklahoma",1409,33151
0500000US17167,"Sangamon County, Illinois",2030,197465
0500000US37037,"Chatham County, North Carolina",5395,63505
0500000US48127,"Dimmit County, Texas",7895,9996
0500000US22017,"Caddo Parish, Louisiana",3156,254969
0500000US37179,"Union County, North Carolina",11692,201292
0500000US56003,"Big Horn County, Wyoming",816,11668
0500000US08049,"Grand County, Colorado",668,14843
0500000US48079,"Cochran County, Texas",1501,3127
0500000US48297,"Live Oak County, Texas",3853,11531
0500000US27021,"Cass County, Minnesota",297,28567
0500000US29021,"Buchanan County, Missouri",2854,89201
0500000US49001,"Beaver County, Utah",459,6629
